file,bytes,overall,productive
And.java,1710,6754654,1118474
And.java,1710,7071142,1091671
And.java,1710,7180104,1147374
And.java,1710,7374289,842485
And.java,1710,7206928,825309
And.java,1710,7314993,1183646
And.java,1710,6582856,808715
AndSelector.java,2311,8052869,891256
AndSelector.java,2311,8345312,1675714
AndSelector.java,2311,8339886,1019502
AndSelector.java,2311,7300284,962695
AndSelector.java,2311,7389796,914085
AndSelector.java,2311,8138627,954350
AndSelector.java,2311,8441858,1026593
AndSelector.java,2311,8510900,936600
AndSelector.java,2311,8512304,1222096
AndSelector.java,2311,35798661,1466260
AnsiColorLogger.java,8409,20350330,3538651
AnsiColorLogger.java,8409,20542430,2708682
AnsiColorLogger.java,8409,19551715,1998819
AnsiColorLogger.java,8409,31788012,2341777
AnsiColorLogger.java,8409,17499555,2311865
AnsiColorLogger.java,8409,21747216,2766878
AnsiColorLogger.java,8409,20081942,2417068
AnsiColorLogger.java,8409,20341142,2747682
AnsiColorLogger.java,8409,21245128,3139480
AnsiColorLogger.java,8409,23086187,3046614
Ant.java,28319,62384877,6011499
Ant.java,28319,84691906,6509989
Ant.java,28319,52294296,6712595
Ant.java,28319,54295178,5664898
Ant.java,28319,47005578,3990044
Ant.java,28319,75388647,4004162
Ant.java,28319,60528513,5742218
Ant.java,28319,53722382,4033230
Ant.java,28319,54132881,4607782
Ant.java,28319,85833412,5942161
AntAnalyzer.java,5402,15410000,2091200
AntAnalyzer.java,5402,15341651,1332111
AntAnalyzer.java,5402,17091679,1882391
AntAnalyzer.java,5402,13125770,894490
AntAnalyzer.java,5402,17109636,1375525
AntAnalyzer.java,5402,19253603,1380966
AntAnalyzer.java,5402,12814200,878901
AntAnalyzer.java,5402,16210828,1602061
AntAnalyzer.java,5402,17322567,1731337
AntAnalyzer.java,5402,15529954,1888993
AntClassLoader.java,61173,155674628,10163152
AntClassLoader.java,61173,121129136,13629682
AntClassLoader.java,61173,131496227,9064745
AntClassLoader.java,61173,153898531,8893097
AntClassLoader.java,61173,140589985,9925782
AntClassLoader.java,61173,112361811,10293419
AntClassLoader.java,61173,161992661,11591078
AntClassLoader.java,61173,121103010,11726169
AntClassLoader.java,61173,97799713,7952573
AntClassLoader.java,61173,95405533,7597981
AntClassLoader2.java,1114,4132268,529233
AntClassLoader2.java,1114,4337762,504751
AntClassLoader2.java,1114,3737933,397650
AntClassLoader2.java,1114,4027528,395887
AntClassLoader2.java,1114,3878163,436649
AntClassLoader2.java,1114,4368345,554437
AntClassLoader2.java,1114,4023550,519467
AntClassLoader2.java,1114,4039471,363780
AntClassLoader2.java,1114,4003943,438546
AntClassLoader2.java,1114,4105429,365500
AntClassLoader5.java,2573,50520739,764852
AntClassLoader5.java,2573,6305127,559089
AntClassLoader5.java,2573,6783557,721758
AntClassLoader5.java,2573,6727981,561380
AntClassLoader5.java,2573,6885687,673065
AntClassLoader5.java,2573,6645726,854151
AntClassLoader5.java,2573,6663647,567218
AntClassLoader5.java,2573,7133394,700465
AntClassLoader5.java,2573,6795001,691785
AntClassLoader5.java,2573,7360069,812115
AntFilterReader.java,5143,14935467,1144515
AntFilterReader.java,5143,12814266,1128386
AntFilterReader.java,5143,10696559,1098495
AntFilterReader.java,5143,12177900,1087861
AntFilterReader.java,5143,12055984,1205787
AntFilterReader.java,5143,14197525,1241110
AntFilterReader.java,5143,13650739,1742779
AntFilterReader.java,5143,12658536,1569220
AntFilterReader.java,5143,12986926,1046079
AntFilterReader.java,5143,13475156,1107382
Antlib.java,6108,16523253,1331990
Antlib.java,6108,15272344,1247176
Antlib.java,6108,19399914,1908319
Antlib.java,6108,16070787,1328076
Antlib.java,6108,16373552,1313654
Antlib.java,6108,15600540,1262815
Antlib.java,6108,16649954,2037384
Antlib.java,6108,16061227,1312579
Antlib.java,6108,17574773,2080940
Antlib.java,6108,16096621,1376271
AntlibDefinition.java,2557,6693037,573063
AntlibDefinition.java,2557,6767550,607676
AntlibDefinition.java,2557,6749735,825466
AntlibDefinition.java,2557,6439477,549357
AntlibDefinition.java,2557,6899558,591974
AntlibDefinition.java,2557,6829565,646830
AntlibDefinition.java,2557,6279152,546639
AntlibDefinition.java,2557,9240878,981262
AntlibDefinition.java,2557,6504173,556966
AntlibDefinition.java,2557,4620154,353856
ANTLR.java,14706,29426777,3258191
ANTLR.java,14706,31659703,3456311
ANTLR.java,14706,71497550,2815798
ANTLR.java,14706,37096042,3656714
ANTLR.java,14706,28735870,3102629
ANTLR.java,14706,31494691,2343914
ANTLR.java,14706,32289570,3198801
ANTLR.java,14706,30212960,2876889
ANTLR.java,14706,37596361,2743473
ANTLR.java,14706,32651753,2525451
AntMain.java,1408,4407113,539169
AntMain.java,1408,3985353,361440
AntMain.java,1408,4478121,464497
AntMain.java,1408,5462303,554883
AntMain.java,1408,4286001,419675
AntMain.java,1408,4261657,423087
AntMain.java,1408,3958664,371465
AntMain.java,1408,4055329,391955
AntMain.java,1408,3784445,381775
AntMain.java,1408,4147802,395132
AntResolver.java,3371,10486307,1234324
AntResolver.java,3371,9670750,972370
AntResolver.java,3371,10802009,897470
AntResolver.java,3371,10418217,914263
AntResolver.java,3371,10505058,831033
AntResolver.java,3371,9925243,736980
AntResolver.java,3371,10077434,815945
AntResolver.java,3371,9056749,826655
AntResolver.java,3371,8442893,622493
AntResolver.java,3371,9990713,819083
AntSoundPlayer.java,7886,18267783,1727942
AntSoundPlayer.java,7886,17825106,2054976
AntSoundPlayer.java,7886,18296450,1399892
AntSoundPlayer.java,7886,17246832,1597081
AntSoundPlayer.java,7886,72234320,1403057
AntSoundPlayer.java,7886,17548927,1429634
AntSoundPlayer.java,7886,17568425,1424067
AntSoundPlayer.java,7886,17384970,2033650
AntSoundPlayer.java,7886,18315354,1478115
AntSoundPlayer.java,7886,17636254,1418651
AntStructure.java,17844,41379167,4167983
AntStructure.java,17844,45432076,2842566
AntStructure.java,17844,43649785,4638806
