file,bytes,overall,productive
AntAnalyzer.java,5402,13308038,1251348
AntAnalyzer.java,5402,12820236,1202966
AntAnalyzer.java,5402,14981365,1193543
AntAnalyzer.java,5402,8687402,1273437
AntAnalyzer.java,5402,12595998,1411510
AntAnalyzer.java,5402,13345077,1206415
AntAnalyzer.java,5402,13818290,1622852
AntAnalyzer.java,5402,13241483,1398139
AntAnalyzer.java,5402,13488574,1898235
AntClassLoader.java,61173,98911337,10822699
AntClassLoader.java,61173,97755254,12921930
AntClassLoader.java,61173,73434135,8725131
AntClassLoader.java,61173,123904369,10885340
AntClassLoader.java,61173,95675397,10065909
AntClassLoader.java,61173,97070961,10652724
AntClassLoader.java,61173,102350959,10053774
AntClassLoader.java,61173,137461675,11339721
AntClassLoader.java,61173,86547341,10125355
AntClassLoader.java,61173,102656032,13181780
AntClassLoader2.java,1114,3413642,520112
AntClassLoader2.java,1114,3336038,366323
AntClassLoader2.java,1114,3063140,310015
AntClassLoader2.java,1114,3078103,370528
AntClassLoader2.java,1114,3151359,382994
AntClassLoader2.java,1114,3072346,477603
AntClassLoader2.java,1114,3172776,457512
AntClassLoader2.java,1114,2930018,324452
AntClassLoader2.java,1114,3008393,370614
AntClassLoader2.java,1114,2738824,300392
AntClassLoader5.java,2573,5731781,606780
AntClassLoader5.java,2573,5712279,496480
AntClassLoader5.java,2573,4194056,566020
AntClassLoader5.java,2573,5556267,480903
AntClassLoader5.java,2573,5481557,758970
AntClassLoader5.java,2573,5688891,729625
AntClassLoader5.java,2573,5748377,624815
AntClassLoader5.java,2573,5820971,502631
AntClassLoader5.java,2573,5947013,661456
AntClassLoader5.java,2573,5626861,519790
AntFilterReader.java,5143,7866682,982188
AntFilterReader.java,5143,11229629,1116277
AntFilterReader.java,5143,11178278,909042
AntFilterReader.java,5143,10981561,872892
AntFilterReader.java,5143,11427076,1558355
AntFilterReader.java,5143,8425995,1539425
AntFilterReader.java,5143,7665749,965467
AntFilterReader.java,5143,40976865,583859
AntFilterReader.java,5143,11324217,963661
AntFilterReader.java,5143,11275465,1491990
Antlib.java,6108,14287730,1996738
Antlib.java,6108,13633906,1132558
Antlib.java,6108,22124364,1995163
Antlib.java,6108,12643828,1078390
Antlib.java,6108,12327888,1128793
Antlib.java,6108,14958464,1297788
Antlib.java,6108,12704411,1416489
Antlib.java,6108,12314561,1175050
Antlib.java,6108,13501554,1273221
Antlib.java,6108,13005158,1087295
AntlibDefinition.java,2557,5495140,645675
AntlibDefinition.java,2557,6203167,563412
AntlibDefinition.java,2557,5787744,568221
AntlibDefinition.java,2557,5448584,466635
AntlibDefinition.java,2557,5790774,766095
AntlibDefinition.java,2557,5427429,466842
