file,bytes,overall,productive
ANTLR.java,14706,27120547,528110
ANTLR.java,14706,51486379,630190
ANTLR.java,14706,42980581,328715
ANTLR.java,14706,92905543,422307
AntMain.java,1408,3117016,134382
AntMain.java,1408,3401349,139253
AntMain.java,1408,2844383,121197
AntMain.java,1408,2753329,70926
AntMain.java,1408,2459196,70683
AntMain.java,1408,2498588,71047
AntMain.java,1408,2563834,72296
AntMain.java,1408,2961888,82033
AntMain.java,1408,2939986,89871
AntMain.java,1408,2937183,75518
AntResolver.java,3371,8740813,235772
AntResolver.java,3371,8401922,235632
AntResolver.java,3371,8264831,187582
AntResolver.java,3371,8744838,200929
AntResolver.java,3371,11688586,233444
AntResolver.java,3371,8140769,143040
AntResolver.java,3371,6410797,125679
AntResolver.java,3371,8768532,152644
AntResolver.java,3371,10349330,148030
AntResolver.java,3371,7717984,155610
AntSoundPlayer.java,7886,14338469,379236
AntSoundPlayer.java,7886,18842082,360380
AntSoundPlayer.java,7886,11622319,179113
AntSoundPlayer.java,7886,13257587,286666
AntSoundPlayer.java,7886,14207249,281972
AntSoundPlayer.java,7886,13745809,319792
AntSoundPlayer.java,7886,16402907,278323
AntSoundPlayer.java,7886,14474340,332711
AntSoundPlayer.java,7886,14551388,345637
AntSoundPlayer.java,7886,13684265,319410
AntStructure.java,17844,47172561,865937
AntStructure.java,17844,48924700,780548
AntStructure.java,17844,34933527,1370733
AntStructure.java,17844,105580263,860466
AntStructure.java,17844,38400978,642680
AntStructure.java,17844,71504028,1185650
AntStructure.java,17844,36907733,351040
AntStructure.java,17844,50711477,830157
AntStructure.java,17844,35150869,628875
AntStructure.java,17844,36153822,715537
AntTypeDefinition.java,13276,20339439,486907
AntTypeDefinition.java,13276,19832826,467747
AntTypeDefinition.java,13276,19631174,418778
AntTypeDefinition.java,13276,28919357,428577
AntTypeDefinition.java,13276,78625897,243146
AntTypeDefinition.java,13276,19274398,428943
AntTypeDefinition.java,13276,19919690,677316
AntTypeDefinition.java,13276,20846856,419404
AntTypeDefinition.java,13276,20512735,684456
AntTypeDefinition.java,13276,24300608,508946
AntVersion.java,5369,11421055,309006
AntVersion.java,5369,14203934,240900
AntVersion.java,5369,13304009,235440
AntVersion.java,5369,10856682,275736
AntVersion.java,5369,15192288,263220
AntVersion.java,5369,11459292,263464
AntVersion.java,5369,11237616,320139
AntVersion.java,5369,10923240,271085
AntVersion.java,5369,11784194,223354
AntVersion.java,5369,11269455,417738
AntXMLContext.java,11623,18141051,406428
AntXMLContext.java,11623,18680836,365880
AntXMLContext.java,11623,22820929,201311
AntXMLContext.java,11623,15901624,335599
AntXMLContext.java,11623,18273884,426211
AntXMLContext.java,11623,14866858,220766
AntXMLContext.java,11623,15337726,318210
AntXMLContext.java,11623,22665830,385750
AntXMLContext.java,11623,17667357,346614
AntXMLContext.java,11623,18370671,335337
ApacheCatalog.java,4579,5291140,136256
ApacheCatalog.java,4579,43932412,134480
ApacheCatalog.java,4579,5470922,102104
ApacheCatalog.java,4579,7210932,187205
ApacheCatalog.java,4579,8904529,182484
ApacheCatalog.java,4579,6936067,157974
ApacheCatalog.java,4579,6312830,154934
ApacheCatalog.java,4579,6842651,155018
ApacheCatalog.java,4579,5900497,117155
ApacheCatalog.java,4579,7087043,180443
ApacheCatalogResolver.java,6515,8311249,197506
ApacheCatalogResolver.java,6515,8845222,233317
ApacheCatalogResolver.java,6515,8791528,230058
ApacheCatalogResolver.java,6515,8604360,216758
ApacheCatalogResolver.java,6515,8469125,196636
ApacheCatalogResolver.java,6515,8885820,227863
ApacheCatalogResolver.java,6515,8460755,201058
ApacheCatalogResolver.java,6515,8100609,191456
ApacheCatalogResolver.java,6515,8824329,228395
ApacheCatalogResolver.java,6515,7963432,191660
Appendable.java,1232,3252443,86118
Appendable.java,1232,2652049,67848
Appendable.java,1232,3256285,88122
Appendable.java,1232,3511671,133990
